"path","bytes","status","signer_subject","has_timestamp","sha256","package"
"site-packages\_cffi_backend.cp312-win_amd64.pyd","181248","NotSigned","","no","9AF5E4F68A41F26B726F2E9424F9D58A4F5666189F6A48BE95F406B257102AEC","_cffi_backend.cp312-win_amd64.pyd"
"site-packages\_soundfile_data\libsndfile_x64.dll","2364416","NotSigned","","no","22518C16F9D13EDA5AE5ADF999C4740D7D16CC2D6B178B36DD4AC2F759A38559","_soundfile_data"
"site-packages\charset_normalizer\cd.cp312-win_amd64.pyd","117248","NotSigned","","no","71FFB046452B819770538CB59FD25694C0A8E9B08AF4B8B71F26DAC85DCFF062","charset_normalizer"
"site-packages\charset_normalizer\md.cp312-win_amd64.pyd","193536","NotSigned","","no","C53A0A481BBCEF6A88492BD113B6293997900F4A17A1A5055776D76256D720F9","charset_normalizer"
"site-packages\google\_upb\_message.pyd","745134","NotSigned","","no","842F219CD89A95A3C5DA42BDA1EE99C2B02D35F5F6AC9C1920FC710A876170AE","google"
"site-packages\grpc\_cython\cygrpc.cp312-win_amd64.pyd","11177984","NotSigned","","no","89C7B390B8EF99425571AA3873A0EE1DC36115B716966BE3F8ED391B663667C3","grpc"
"site-packages\hf_xet\hf_xet.pyd","9499136","NotSigned","","no","EA8F5DDB1AE42ADF5E4D376EC27B7F1EA1FE843E15F5D7A9E45FE1298CA4FD4C","hf_xet"
"site-packages\httptools\parser\parser.cp312-win_amd64.pyd","124416","NotSigned","","no","04777205573D164D66030BC6D9DD9EAAC35B9F73A8789A044C1423DB01EE43AB","httptools"
"site-packages\httptools\parser\url_parser.cp312-win_amd64.pyd","52224","NotSigned","","no","1B75CEA9E13CF0895E3BAFDAFEE237EB361568C59BA3CB5CCFBD06FA2D8199C4","httptools"
"site-packages\llvmlite\binding\llvmlite.dll","120369664","NotSigned","","no","900C79BF1E07D530F853523F3F2DFFD608098CB6BBEA7703F31BE52FB89E1423","llvmlite"
"site-packages\llvmlite.libs\msvcp140-8f141b4454fa78db34bc1f28c571b4da.dll","557648","Valid","Microsoft Windows Software Compatibility Publisher","yes","8F141B4454FA78DB34BC1F28C571B4DA0E00CD2C43F7AD0E282F313036826AAE","llvmlite.libs"
"site-packages\markupsafe\_speedups.cp312-win_amd64.pyd","13312","NotSigned","","no","6107CD12E027357194947A9E4881AECF468790D2CB6EF4DD6EC77F5736232098","markupsafe"
"site-packages\msgpack\_cmsgpack.cp312-win_amd64.pyd","126464","NotSigned","","no","D2928799C43862B2D18C39F05C32378D4C98BA0131625F6DFB8B012006A5523C","msgpack"
"site-packages\numba\_devicearray.cp312-win_amd64.pyd","12288","NotSigned","","no","C7483DC403A105490011F60957785D6561D4E935636074B38DFECC118FBC5938","numba"
"site-packages\numba\_dispatcher.cp312-win_amd64.pyd","41472","NotSigned","","no","06167C9BFA01007A2EFDC97B04709FEBE83E87F575820AC566564715098FBF70","numba"
"site-packages\numba\_dynfunc.cp312-win_amd64.pyd","16896","NotSigned","","no","FA38FF877880CF66A6556D5C54F6F39941B951A6D047A2AD60617A97897ECBC7","numba"
"site-packages\numba\_helperlib.cp312-win_amd64.pyd","203776","NotSigned","","no","1B797925F0423B0668686653E35639E0010BF3B2910DC6752A13B71E642DB0B6","numba"
"site-packages\numba\core\runtime\_nrt_python.cp312-win_amd64.pyd","25088","NotSigned","","no","4D758CE1B9EE519DEB7D994A6215EC1C52AB63153313FDEEDAFC249A26AF3EF8","numba"
"site-packages\numba\core\typeconv\_typeconv.cp312-win_amd64.pyd","20480","NotSigned","","no","76CD586965EFBDDF9D36DC7A35E8BF322634EA390FEAFED999001130BA5DA754","numba"
"site-packages\numba\cuda\cudadrv\_extras.cp312-win_amd64.pyd","10752","NotSigned","","no","D025C6E21DAE08A77AA16A928A9173ECEC180B3FCC50A30C427E87539007BF0C","numba"
"site-packages\numba\experimental\jitclass\_box.cp312-win_amd64.pyd","12800","NotSigned","","no","076AEECE9F019F5D29690CE175F95DFD17A264B83CB30E1BC8CE3DA2926892A6","numba"
"site-packages\numba\mviewbuf.cp312-win_amd64.pyd","14848","NotSigned","","no","957A8A3D6DB6E473E8FFE48739C65896B4F58BCB6995549BA8306602B81F725C","numba"
"site-packages\numba\np\ufunc\_internal.cp312-win_amd64.pyd","23552","NotSigned","","no","174739C6642F3C298F34A7DB300265A20208C72EEB5A80AF1D3681471BE9D4A8","numba"
"site-packages\numba\np\ufunc\_num_threads.cp312-win_amd64.pyd","10752","NotSigned","","no","437A29EAAB32D903F1E63F4099200871A681C4E73C28FE6390ED1C3824E82D67","numba"
"site-packages\numba\np\ufunc\omppool.cp312-win_amd64.pyd","36352","NotSigned","","no","D4014F6CAFC2BB6E9C8D663D2CBE49BF08EEE0019B8152FA9863259FCA0D9A4B","numba"
"site-packages\numba\np\ufunc\tbbpool.cp312-win_amd64.pyd","46592","NotSigned","","no","A01B3AC30E5CFEAB7026349EC771D3BF8C6B17DA2B8882DEA43A29B28481E55C","numba"
"site-packages\numba\np\ufunc\workqueue.cp312-win_amd64.pyd","38400","NotSigned","","no","F3C1D6989718354E6ADBA47F1FF25F649BE3627F9959EB021D5FA3A681226259","numba"
"site-packages\numpy\_core\_multiarray_tests.cp312-win_amd64.pyd","65536","NotSigned","","no","47FF40012CE4BBB2C2B4F698FA60F0551D35D817A39316D022AEFAAA48E1987E","numpy"
"site-packages\numpy\_core\_multiarray_umath.cp312-win_amd64.pyd","3849216","NotSigned","","no","63169915C2D78ABA0984BD5E235A92936C319D228C35919A41758B20CD8683C1","numpy"
"site-packages\numpy\_core\_operand_flag_tests.cp312-win_amd64.pyd","12288","NotSigned","","no","6B119484CD0B5A4826482188F4944E2FE8D8404BA1F3290844A3D940AF2A5248","numpy"
"site-packages\numpy\_core\_rational_tests.cp312-win_amd64.pyd","43520","NotSigned","","no","1EADF92EA62F7358295BC62EB699CE7E9947420ABF137EEBEBAD59BD42A4F070","numpy"
"site-packages\numpy\_core\_simd.cp312-win_amd64.pyd","831488","NotSigned","","no","44820458E000860ABE932A0F7D5B89B6EB4F865FBE9FC1F23C95644A28FB3F98","numpy"
"site-packages\numpy\_core\_struct_ufunc_tests.cp312-win_amd64.pyd","14336","NotSigned","","no","5339FD149BCE6DDDAB4B03B224C2FFCB8B3EBE32E0B9D234CD222B645C235BAC","numpy"
"site-packages\numpy\_core\_umath_tests.cp312-win_amd64.pyd","34304","NotSigned","","no","9B454DFE53B73490E91260A8B8D07EE9A915804430ACCD7B7A526F5A28D9F92E","numpy"
"site-packages\numpy\fft\_pocketfft_umath.cp312-win_amd64.pyd","276480","NotSigned","","no","440A855ABA8838CD5C4E22B2618CD9F691AEA11130261A9318CC48050E76720E","numpy"
"site-packages\numpy\linalg\_umath_linalg.cp312-win_amd64.pyd","112128","NotSigned","","no","26315B00A500EBFA5723776853BA651E3CAE05C22144F41305BA0CF3B29B9542","numpy"
"site-packages\numpy\linalg\lapack_lite.cp312-win_amd64.pyd","18944","NotSigned","","no","2AA76852C25A37F22009DB5415EEC9EAF393743036CC0AEE6EA81807869EDFDD","numpy"
"site-packages\numpy\random\_bounded_integers.cp312-win_amd64.pyd","207360","NotSigned","","no","B15875AD2DED03FC5F555BF8D4781B526A070E9AED72B775499B875A9A6D4965","numpy"
"site-packages\numpy\random\_common.cp312-win_amd64.pyd","167424","NotSigned","","no","EAF315793A49B211515951203A1A0E2D511AF930E024B6C93DEE7B3E5AB2AED3","numpy"
"site-packages\numpy\random\_generator.cp312-win_amd64.pyd","587776","NotSigned","","no","F39F29E88E2AACC3B280D4C8A44A189A48722B1C7414DE516D6D1C4D13B13495","numpy"
"site-packages\numpy\random\_mt19937.cp312-win_amd64.pyd","89088","NotSigned","","no","D202EA26FD003EB916A640B2E931B20512F65AAD0315F4F31D4E65C9D0E5F58E","numpy"
"site-packages\numpy\random\_pcg64.cp312-win_amd64.pyd","100864","NotSigned","","no","C21833F36728E5AA2DB7B5C2FB290F6E62143C0167A317126B4C7A31380D4917","numpy"
"site-packages\numpy\random\_philox.cp312-win_amd64.pyd","85504","NotSigned","","no","E482E082620A583B6A0D01171147F6FF7CDEE3B1D8F6D15E277AD6EFBF14EE40","numpy"
"site-packages\numpy\random\_sfc64.cp312-win_amd64.pyd","62464","NotSigned","","no","EBF00341DA63FC784CC5E71E1497293CD3BE45E921C88D002ED7340C019EBADA","numpy"
"site-packages\numpy\random\bit_generator.cp312-win_amd64.pyd","165888","NotSigned","","no","1C05DBF7C50D6A885E8F35FE360377368D12F4718EC0FEB6125C71B8D16C20EA","numpy"
"site-packages\numpy\random\mtrand.cp312-win_amd64.pyd","492544","NotSigned","","no","FA7CBD1E1AA591B3B7EA291D63AA5C49ED37383EA7655D96A2FF44C4F2E90FC3","numpy"
"site-packages\numpy.libs\libscipy_openblas64_-327b2e0bcffce2882e0dc04cdeb4eaa6.dll","20495360","NotSigned","","no","327B2E0BCFFCE2882E0DC04CDEB4EAA6382ED4DBA29871B6176FA157782F484A","numpy.libs"
"site-packages\numpy.libs\msvcp140-a4c2229bdc2a2a630acdc095b4d86008.dll","575056","Valid","Microsoft Windows Software Compatibility Publisher","yes","A4C2229BDC2A2A630ACDC095B4D86008E5C3E3BC7773174354F3DA4F5BEB9CDE","numpy.libs"
"site-packages\PIL\_avif.cp312-win_amd64.pyd","7893504","NotSigned","","no","6731DCE52BAAB0B96B0EEB3C664844B5B42C2168EA8668AF2430E2FBDD2DFBD8","PIL"
"site-packages\PIL\_imaging.cp312-win_amd64.pyd","2632704","NotSigned","","no","C8C519EC72BF75B2945B4FC4AFA854AF2FCA8B970A403134F9DDDA3E164D85E9","PIL"
"site-packages\PIL\_imagingcms.cp312-win_amd64.pyd","272384","NotSigned","","no","C89C633AE1BF3F26A327D14FF688DB66628E19C9866AB925479F27DCB60A2D6F","PIL"
"site-packages\PIL\_imagingft.cp312-win_amd64.pyd","2174976","NotSigned","","no","77C6D37DE41733DF40FB36D9AF47644989AC17DA036515E759303969EDB22C48","PIL"
"site-packages\PIL\_imagingmath.cp312-win_amd64.pyd","21504","NotSigned","","no","82AC45C41A008854D05F67DEDA298B65A7BED850D0D79A3AF861ED583F6E7D62","PIL"
